Name	o.rank	d.rank	g.rank	bib	age
Bruno Rigillo	1913	192	1464	1510	33
David Rivest	604	77	526	1511	32
Michael Robertson	1470	167	1205	1512	NA
Blair Robinson	814	106	709	1513	33
Ben Rotherham	126	24	115	1514	29
Sylvain Roy	654	87	569	1515	33
Juan Manuel Ruacho	688	92	599	1516	33
Adam Ruszkowski	1150	138	967	1517	31
David Sedelnick	314	47	281	1518	33
Elliott Sheaves	2114	202	1587	1519	32
Craig Stoller	392	9	343	151	55
Benjamin Sheldon	243	41	222	1520	31
Jason Short	2048	199	1542	1521	30
Matt Silvestrini	2019	196	1526	1523	32
Thomas Smith	1816	188	1412	1524	32
Tyler Solonenko	1211	146	1016	1525	31
Derek Stephens	972	125	836	1526	33
Justin St-Maurice	2159	204	1610	1527	32
Arthur Sullivan	635	84	553	1528	29
Jean-Mathieu Tardif	220	38	201	1529	32
Fred Skinner	569	1	495	152	66
Dustin Thiffault	690	93	600	1530	32
Dany Tremblay	702	95	610	1531	33
Matt Tribe	361	52	317	1532	30
Karl Jansen Tubo	1507	171	1227	1533	31
Ryan Ung	34	6	32	1534	30
Steven Vadnais	443	63	388	1535	33
Simon Vaillancourt	619	80	539	1536	33
Sebastien Vallee	1504	168	1224	1538	34
Steve Vallieres	122	22	111	1539	34
Stephen Smith	592	2	515	153	66
Bryan Vargas	1320	158	1103	1541	30
Raphael Veilleux	DNF	NA	NA	1542	32
Dave Vigneault	160	28	144	1543	32
Misa Vujaklija	2248	209	1660	1544	30
Taylor Weber	483	66	423	1545	30
Matthew Wontz	218	37	199	1546	33
Tom Yost	980	128	843	1547	31
Matthew Zucker	DNF	NA	NA	1548	32
Christopher Zuk	1505	169	1225	1549	34
Kayla Jones	1065	3	155	154	22
Jeff Addison	1278	168	1070	1550	38
Craig Aguiar-Winter	946	127	813	1551	38
Michael Allen	864	123	749	1553	38
Corey Allison	1960	226	1491	1554	38
Laurent Armstrong	1051	144	899	1555	37
Gilles Arsenault	1667	210	1329	1556	38
Brian Aubuchon	DNF	NA	NA	1557	38
Frederic Ayotte	994	136	853	1558	36
Sid-Ali Azouagh	305	56	274	1559	39
Joannie Sanche	142	3	15	155	27
